Hierarchical_equality Compare Summary
checkpoint: models/hierarchical_equality_mlp_seed42.pt
seed: 42
device: cpu
requested_device: <auto>
target_vars: WX, YZ
pair_sizes: train=512, calibration=512, test=2048
factual_validation_exact_acc: 0.9987

GW
solver: epsilon_used=0.05, method=gw
selected soft matches:
WX: top_k=3, lambda=4.0, top_site=L0-d0, selection=(exact=0.6426, gold prob=0.6408), calibration=(exact=0.6426, gold prob=0.6408), test=(exact=0.6377, gold prob=0.6371)
YZ: top_k=16, lambda=3.75, top_site=L0-d0, selection=(exact=0.6055, gold prob=0.6029), calibration=(exact=0.6055, gold prob=0.6029), test=(exact=0.6050, gold prob=0.6049)

OT
solver: epsilon_used=0.05, method=ot
selected soft matches:
WX: top_k=10, lambda=4.0, top_site=L1-d21, selection=(exact=0.7617, gold prob=0.7600), calibration=(exact=0.7617, gold prob=0.7600), test=(exact=0.7388, gold prob=0.7382)
YZ: top_k=4, lambda=4.0, top_site=L0-d4, selection=(exact=0.7637, gold prob=0.7646), calibration=(exact=0.7637, gold prob=0.7646), test=(exact=0.7778, gold prob=0.7757)

FGW
solver: alpha=0.5, epsilon_used=0.05, method=fgw
selected soft matches:
WX: top_k=5, lambda=4.0, top_site=L0-d28, selection=(exact=0.7676, gold prob=0.7660), calibration=(exact=0.7676, gold prob=0.7660), test=(exact=0.7451, gold prob=0.7447)
YZ: top_k=15, lambda=4.0, top_site=L0-d0, selection=(exact=0.6250, gold prob=0.6252), calibration=(exact=0.6250, gold prob=0.6252), test=(exact=0.6343, gold prob=0.6340)

DAS
training: min_epochs=5, plateau_patience=2, plateau_rel_delta=0.01, type=plateau_on_train_loss
selected sites:
WX: site=L1-k16, layer=1, subspace_dim=16, epochs_ran=50, selection=(exact=0.9180, gold prob=0.9153), calibration=(exact=0.9180, gold prob=0.9153), test=(exact=0.8901, gold prob=0.8863)
YZ: site=L1-k32, layer=1, subspace_dim=32, epochs_ran=50, selection=(exact=0.9141, gold prob=0.9093), calibration=(exact=0.9141, gold prob=0.9093), test=(exact=0.8862, gold prob=0.8781)

Average Summary
DAS: exact_acc=0.8882, mean_true_class_prob=0.8822, runtime_s=16.01
FGW: exact_acc=0.6897, mean_true_class_prob=0.6893, runtime_s=6.72
GW: exact_acc=0.6213, mean_true_class_prob=0.6210, runtime_s=7.22
OT: exact_acc=0.7583, mean_true_class_prob=0.7570, runtime_s=7.28

------------------------------------------------------------------------

Candidate Sweeps

GW
calibration sweep:
WX:
WX [selected]: top_k=3, lambda=4, top_site=L0-d0, exact=0.6426, gold prob=0.6408
WX: top_k=2, lambda=3.5, top_site=L0-d0, exact=0.5820, gold prob=0.5818
WX: top_k=2, lambda=3.75, top_site=L0-d0, exact=0.5840, gold prob=0.5860
WX: top_k=2, lambda=4, top_site=L0-d0, exact=0.5898, gold prob=0.5905
WX: top_k=3, lambda=0.25, top_site=L0-d0, exact=0.5312, gold prob=0.5312
WX: top_k=3, lambda=0.5, top_site=L0-d0, exact=0.5371, gold prob=0.5386
WX: top_k=3, lambda=0.75, top_site=L0-d0, exact=0.5605, gold prob=0.5615
WX: top_k=3, lambda=1, top_site=L0-d0, exact=0.5762, gold prob=0.5768
WX: top_k=3, lambda=1.25, top_site=L0-d0, exact=0.5898, gold prob=0.5881
WX: top_k=3, lambda=1.5, top_site=L0-d0, exact=0.5996, gold prob=0.5978
WX: top_k=3, lambda=1.75, top_site=L0-d0, exact=0.6055, gold prob=0.6055
WX: top_k=3, lambda=2, top_site=L0-d0, exact=0.6094, gold prob=0.6099
WX: top_k=3, lambda=2.25, top_site=L0-d0, exact=0.6113, gold prob=0.6127
WX: top_k=3, lambda=2.5, top_site=L0-d0, exact=0.6152, gold prob=0.6162
WX: top_k=3, lambda=2.75, top_site=L0-d0, exact=0.6230, gold prob=0.6216
WX: top_k=3, lambda=3, top_site=L0-d0, exact=0.6270, gold prob=0.6258
WX: top_k=3, lambda=3.25, top_site=L0-d0, exact=0.6289, gold prob=0.6294
WX: top_k=3, lambda=3.5, top_site=L0-d0, exact=0.6328, gold prob=0.6334
WX: top_k=3, lambda=3.75, top_site=L0-d0, exact=0.6348, gold prob=0.6370
WX: top_k=4, lambda=0.25, top_site=L0-d0, exact=0.5293, gold prob=0.5295
WX: top_k=4, lambda=0.5, top_site=L0-d0, exact=0.5273, gold prob=0.5290
WX: top_k=4, lambda=0.75, top_site=L0-d0, exact=0.5488, gold prob=0.5465
WX: top_k=4, lambda=1, top_site=L0-d0, exact=0.5566, gold prob=0.5581
WX: top_k=4, lambda=1.25, top_site=L0-d0, exact=0.5586, gold prob=0.5592
WX: top_k=4, lambda=1.5, top_site=L0-d0, exact=0.5625, gold prob=0.5620
WX: top_k=4, lambda=1.75, top_site=L0-d0, exact=0.5664, gold prob=0.5684
WX: top_k=4, lambda=2, top_site=L0-d0, exact=0.5762, gold prob=0.5745
WX: top_k=4, lambda=2.25, top_site=L0-d0, exact=0.5762, gold prob=0.5774
WX: top_k=4, lambda=2.5, top_site=L0-d0, exact=0.5781, gold prob=0.5784
WX: top_k=4, lambda=2.75, top_site=L0-d0, exact=0.5781, gold prob=0.5777
WX: top_k=4, lambda=3, top_site=L0-d0, exact=0.5762, gold prob=0.5776
WX: top_k=4, lambda=3.25, top_site=L0-d0, exact=0.5801, gold prob=0.5793
WX: top_k=4, lambda=3.5, top_site=L0-d0, exact=0.5820, gold prob=0.5825
WX: top_k=4, lambda=3.75, top_site=L0-d0, exact=0.5859, gold prob=0.5838
WX: top_k=4, lambda=4, top_site=L0-d0, exact=0.5859, gold prob=0.5839
WX: top_k=5, lambda=0.25, top_site=L0-d0, exact=0.5293, gold prob=0.5303
WX: top_k=5, lambda=0.5, top_site=L0-d0, exact=0.5312, gold prob=0.5314
WX: top_k=5, lambda=0.75, top_site=L0-d0, exact=0.5293, gold prob=0.5316
WX: top_k=5, lambda=1, top_site=L0-d0, exact=0.5469, gold prob=0.5481
WX: top_k=5, lambda=1.25, top_site=L0-d0, exact=0.5566, gold prob=0.5573
WX: top_k=5, lambda=1.5, top_site=L0-d0, exact=0.5605, gold prob=0.5591
WX: top_k=5, lambda=1.75, top_site=L0-d0, exact=0.5566, gold prob=0.5596
WX: top_k=5, lambda=2, top_site=L0-d0, exact=0.5566, gold prob=0.5626
WX: top_k=5, lambda=2.25, top_site=L0-d0, exact=0.5684, gold prob=0.5679
WX: top_k=5, lambda=2.5, top_site=L0-d0, exact=0.5742, gold prob=0.5721
WX: top_k=5, lambda=2.75, top_site=L0-d0, exact=0.5742, gold prob=0.5743
WX: top_k=5, lambda=3, top_site=L0-d0, exact=0.5742, gold prob=0.5753
WX: top_k=5, lambda=3.25, top_site=L0-d0, exact=0.5781, gold prob=0.5772
WX: top_k=5, lambda=3.5, top_site=L0-d0, exact=0.5762, gold prob=0.5777
WX: top_k=5, lambda=3.75, top_site=L0-d0, exact=0.5801, gold prob=0.5797
WX: top_k=5, lambda=4, top_site=L0-d0, exact=0.5801, gold prob=0.5811
WX: top_k=6, lambda=0.25, top_site=L0-d0, exact=0.5312, gold prob=0.5311
WX: top_k=6, lambda=0.5, top_site=L0-d0, exact=0.5312, gold prob=0.5307
WX: top_k=6, lambda=0.75, top_site=L0-d0, exact=0.5293, gold prob=0.5307
WX: top_k=6, lambda=1, top_site=L0-d0, exact=0.5352, gold prob=0.5358
WX: top_k=6, lambda=1.25, top_site=L0-d0, exact=0.5527, gold prob=0.5508
WX: top_k=6, lambda=1.5, top_site=L0-d0, exact=0.5508, gold prob=0.5549
WX: top_k=6, lambda=1.75, top_site=L0-d0, exact=0.5605, gold prob=0.5600
WX: top_k=6, lambda=2, top_site=L0-d0, exact=0.5605, gold prob=0.5607
WX: top_k=6, lambda=2.25, top_site=L0-d0, exact=0.5645, gold prob=0.5643
WX: top_k=6, lambda=2.5, top_site=L0-d0, exact=0.5625, gold prob=0.5671
WX: top_k=6, lambda=2.75, top_site=L0-d0, exact=0.5742, gold prob=0.5709
WX: top_k=6, lambda=3, top_site=L0-d0, exact=0.5742, gold prob=0.5738
WX: top_k=6, lambda=3.25, top_site=L0-d0, exact=0.5742, gold prob=0.5752
WX: top_k=6, lambda=3.5, top_site=L0-d0, exact=0.5742, gold prob=0.5768
WX: top_k=6, lambda=3.75, top_site=L0-d0, exact=0.5781, gold prob=0.5794
WX: top_k=6, lambda=4, top_site=L0-d0, exact=0.5840, gold prob=0.5813
WX: top_k=7, lambda=0.25, top_site=L0-d0, exact=0.5312, gold prob=0.5312
WX: top_k=7, lambda=0.5, top_site=L0-d0, exact=0.5293, gold prob=0.5300
WX: top_k=7, lambda=0.75, top_site=L0-d0, exact=0.5352, gold prob=0.5321
WX: top_k=7, lambda=1, top_site=L0-d0, exact=0.5312, gold prob=0.5318
WX: top_k=7, lambda=1.25, top_site=L0-d0, exact=0.5430, gold prob=0.5411
WX: top_k=7, lambda=1.5, top_site=L0-d0, exact=0.5508, gold prob=0.5511
WX: top_k=7, lambda=1.75, top_site=L0-d0, exact=0.5508, gold prob=0.5546
WX: top_k=7, lambda=2, top_site=L0-d0, exact=0.5625, gold prob=0.5598
WX: top_k=7, lambda=2.25, top_site=L0-d0, exact=0.5566, gold prob=0.5600
WX: top_k=7, lambda=2.5, top_site=L0-d0, exact=0.5645, gold prob=0.5626
WX: top_k=7, lambda=2.75, top_site=L0-d0, exact=0.5625, gold prob=0.5650
WX: top_k=7, lambda=3, top_site=L0-d0, exact=0.5645, gold prob=0.5680
WX: top_k=7, lambda=3.25, top_site=L0-d0, exact=0.5742, gold prob=0.5711
WX: top_k=7, lambda=3.5, top_site=L0-d0, exact=0.5723, gold prob=0.5733
WX: top_k=7, lambda=3.75, top_site=L0-d0, exact=0.5742, gold prob=0.5743
WX: top_k=7, lambda=4, top_site=L0-d0, exact=0.5703, gold prob=0.5747
WX: top_k=8, lambda=0.25, top_site=L0-d0, exact=0.5312, gold prob=0.5312
WX: top_k=8, lambda=0.5, top_site=L0-d0, exact=0.5293, gold prob=0.5296
WX: top_k=8, lambda=0.75, top_site=L0-d0, exact=0.5371, gold prob=0.5364
WX: top_k=8, lambda=1, top_site=L0-d0, exact=0.5449, gold prob=0.5441
WX: top_k=8, lambda=1.25, top_site=L0-d0, exact=0.5508, gold prob=0.5529
WX: top_k=8, lambda=1.5, top_site=L0-d0, exact=0.5703, gold prob=0.5681
WX: top_k=8, lambda=1.75, top_site=L0-d0, exact=0.5840, gold prob=0.5791
WX: top_k=8, lambda=2, top_site=L0-d0, exact=0.5781, gold prob=0.5817
WX: top_k=8, lambda=2.25, top_site=L0-d0, exact=0.5879, gold prob=0.5862
WX: top_k=8, lambda=2.5, top_site=L0-d0, exact=0.5918, gold prob=0.5908
WX: top_k=8, lambda=2.75, top_site=L0-d0, exact=0.5957, gold prob=0.5961
WX: top_k=8, lambda=3, top_site=L0-d0, exact=0.5977, gold prob=0.6000
WX: top_k=8, lambda=3.25, top_site=L0-d0, exact=0.6016, gold prob=0.6021
WX: top_k=8, lambda=3.5, top_site=L0-d0, exact=0.5996, gold prob=0.6036
WX: top_k=8, lambda=3.75, top_site=L0-d0, exact=0.6055, gold prob=0.6047
WX: top_k=8, lambda=4, top_site=L0-d0, exact=0.6055, gold prob=0.6060
WX: top_k=9, lambda=0.25, top_site=L0-d0, exact=0.5312, gold prob=0.5312
WX: top_k=9, lambda=0.5, top_site=L0-d0, exact=0.5293, gold prob=0.5297
WX: top_k=9, lambda=0.75, top_site=L0-d0, exact=0.5332, gold prob=0.5335
WX: top_k=9, lambda=1, top_site=L0-d0, exact=0.5410, gold prob=0.5414
WX: top_k=9, lambda=1.25, top_site=L0-d0, exact=0.5488, gold prob=0.5478
WX: top_k=9, lambda=1.5, top_site=L0-d0, exact=0.5547, gold prob=0.5573
WX: top_k=9, lambda=1.75, top_site=L0-d0, exact=0.5742, gold prob=0.5722
WX: top_k=9, lambda=2, top_site=L0-d0, exact=0.5840, gold prob=0.5799
WX: top_k=9, lambda=2.25, top_site=L0-d0, exact=0.5781, gold prob=0.5816
WX: top_k=9, lambda=2.5, top_site=L0-d0, exact=0.5840, gold prob=0.5855
WX: top_k=9, lambda=2.75, top_site=L0-d0, exact=0.5918, gold prob=0.5904
WX: top_k=9, lambda=3, top_site=L0-d0, exact=0.5996, gold prob=0.5954
WX: top_k=9, lambda=3.25, top_site=L0-d0, exact=0.6016, gold prob=0.5993
WX: top_k=9, lambda=3.5, top_site=L0-d0, exact=0.5977, gold prob=0.6017
WX: top_k=9, lambda=3.75, top_site=L0-d0, exact=0.6035, gold prob=0.6036
WX: top_k=9, lambda=4, top_site=L0-d0, exact=0.6074, gold prob=0.6051
WX: top_k=10, lambda=0.25, top_site=L0-d0, exact=0.5312, gold prob=0.5312
WX: top_k=10, lambda=0.5, top_site=L0-d0, exact=0.5312, gold prob=0.5303
WX: top_k=10, lambda=0.75, top_site=L0-d0, exact=0.5293, gold prob=0.5324
WX: top_k=10, lambda=1, top_site=L0-d0, exact=0.5410, gold prob=0.5418
WX: top_k=10, lambda=1.25, top_site=L0-d0, exact=0.5508, gold prob=0.5482
WX: top_k=10, lambda=1.5, top_site=L0-d0, exact=0.5547, gold prob=0.5557
WX: top_k=10, lambda=1.75, top_site=L0-d0, exact=0.5645, gold prob=0.5678
WX: top_k=10, lambda=2, top_site=L0-d0, exact=0.5859, gold prob=0.5824
WX: top_k=10, lambda=2.25, top_site=L0-d0, exact=0.5938, gold prob=0.5920
WX: top_k=10, lambda=2.5, top_site=L0-d0, exact=0.5918, gold prob=0.5969
WX: top_k=10, lambda=2.75, top_site=L0-d0, exact=0.6035, gold prob=0.6028
WX: top_k=10, lambda=3, top_site=L0-d0, exact=0.6113, gold prob=0.6084
WX: top_k=10, lambda=3.25, top_site=L0-d0, exact=0.6152, gold prob=0.6125
WX: top_k=10, lambda=3.5, top_site=L0-d0, exact=0.6172, gold prob=0.6147
WX: top_k=10, lambda=3.75, top_site=L0-d0, exact=0.6133, gold prob=0.6151
WX: top_k=10, lambda=4, top_site=L0-d0, exact=0.6113, gold prob=0.6157
WX: top_k=11, lambda=0.25, top_site=L0-d0, exact=0.5312, gold prob=0.5312
WX: top_k=11, lambda=0.5, top_site=L0-d0, exact=0.5312, gold prob=0.5309
WX: top_k=11, lambda=0.75, top_site=L0-d0, exact=0.5293, gold prob=0.5306
WX: top_k=11, lambda=1, top_site=L0-d0, exact=0.5371, gold prob=0.5382
WX: top_k=11, lambda=1.25, top_site=L0-d0, exact=0.5449, gold prob=0.5455
WX: top_k=11, lambda=1.5, top_site=L0-d0, exact=0.5488, gold prob=0.5512
WX: top_k=11, lambda=1.75, top_site=L0-d0, exact=0.5566, gold prob=0.5614
WX: top_k=11, lambda=2, top_site=L0-d0, exact=0.5742, gold prob=0.5740
WX: top_k=11, lambda=2.25, top_site=L0-d0, exact=0.5898, gold prob=0.5856
WX: top_k=11, lambda=2.5, top_site=L0-d0, exact=0.5938, gold prob=0.5934
WX: top_k=11, lambda=2.75, top_site=L0-d0, exact=0.6016, gold prob=0.5994
WX: top_k=11, lambda=3, top_site=L0-d0, exact=0.6074, gold prob=0.6049
WX: top_k=11, lambda=3.25, top_site=L0-d0, exact=0.6074, gold prob=0.6085
WX: top_k=11, lambda=3.5, top_site=L0-d0, exact=0.6172, gold prob=0.6119
WX: top_k=11, lambda=3.75, top_site=L0-d0, exact=0.6152, gold prob=0.6143
WX: top_k=11, lambda=4, top_site=L0-d0, exact=0.6133, gold prob=0.6157
WX: top_k=12, lambda=0.25, top_site=L0-d0, exact=0.5312, gold prob=0.5312
WX: top_k=12, lambda=0.5, top_site=L0-d0, exact=0.5312, gold prob=0.5311
WX: top_k=12, lambda=0.75, top_site=L0-d0, exact=0.5293, gold prob=0.5298
WX: top_k=12, lambda=1, top_site=L0-d0, exact=0.5352, gold prob=0.5351
WX: top_k=12, lambda=1.25, top_site=L0-d0, exact=0.5449, gold prob=0.5434
WX: top_k=12, lambda=1.5, top_site=L0-d0, exact=0.5508, gold prob=0.5494
WX: top_k=12, lambda=1.75, top_site=L0-d0, exact=0.5547, gold prob=0.5561
WX: top_k=12, lambda=2, top_site=L0-d0, exact=0.5645, gold prob=0.5645
WX: top_k=12, lambda=2.25, top_site=L0-d0, exact=0.5762, gold prob=0.5752
WX: top_k=12, lambda=2.5, top_site=L0-d0, exact=0.5898, gold prob=0.5857
WX: top_k=12, lambda=2.75, top_site=L0-d0, exact=0.5918, gold prob=0.5920
WX: top_k=12, lambda=3, top_site=L0-d0, exact=0.5996, gold prob=0.5970
WX: top_k=12, lambda=3.25, top_site=L0-d0, exact=0.5977, gold prob=0.6013
WX: top_k=12, lambda=3.5, top_site=L0-d0, exact=0.6055, gold prob=0.6069
WX: top_k=12, lambda=3.75, top_site=L0-d0, exact=0.6172, gold prob=0.6121
WX: top_k=12, lambda=4, top_site=L0-d0, exact=0.6211, gold prob=0.6151
WX: top_k=13, lambda=0.25, top_site=L0-d0, exact=0.5312, gold prob=0.5312
WX: top_k=13, lambda=0.5, top_site=L0-d0, exact=0.5312, gold prob=0.5312
WX: top_k=13, lambda=0.75, top_site=L0-d0, exact=0.5293, gold prob=0.5296
WX: top_k=13, lambda=1, top_site=L0-d0, exact=0.5332, gold prob=0.5329
WX: top_k=13, lambda=1.25, top_site=L0-d0, exact=0.5391, gold prob=0.5403
WX: top_k=13, lambda=1.5, top_site=L0-d0, exact=0.5488, gold prob=0.5467
WX: top_k=13, lambda=1.75, top_site=L0-d0, exact=0.5508, gold prob=0.5522
WX: top_k=13, lambda=2, top_site=L0-d0, exact=0.5586, gold prob=0.5598
WX: top_k=13, lambda=2.25, top_site=L0-d0, exact=0.5625, gold prob=0.5676
WX: top_k=13, lambda=2.5, top_site=L0-d0, exact=0.5801, gold prob=0.5782
WX: top_k=13, lambda=2.75, top_site=L0-d0, exact=0.5898, gold prob=0.5869
WX: top_k=13, lambda=3, top_site=L0-d0, exact=0.5918, gold prob=0.5922
WX: top_k=13, lambda=3.25, top_site=L0-d0, exact=0.5996, gold prob=0.5968
WX: top_k=13, lambda=3.5, top_site=L0-d0, exact=0.5957, gold prob=0.6009
WX: top_k=13, lambda=3.75, top_site=L0-d0, exact=0.6074, gold prob=0.6061
WX: top_k=13, lambda=4, top_site=L0-d0, exact=0.6172, gold prob=0.6107
WX: top_k=14, lambda=0.25, top_site=L0-d0, exact=0.5312, gold prob=0.5312
WX: top_k=14, lambda=0.5, top_site=L0-d0, exact=0.5312, gold prob=0.5312
WX: top_k=14, lambda=0.75, top_site=L0-d0, exact=0.5293, gold prob=0.5299
WX: top_k=14, lambda=1, top_site=L0-d0, exact=0.5293, gold prob=0.5313
WX: top_k=14, lambda=1.25, top_site=L0-d0, exact=0.5352, gold prob=0.5373
WX: top_k=14, lambda=1.5, top_site=L0-d0, exact=0.5449, gold prob=0.5444
WX: top_k=14, lambda=1.75, top_site=L0-d0, exact=0.5508, gold prob=0.5499
WX: top_k=14, lambda=2, top_site=L0-d0, exact=0.5566, gold prob=0.5553
WX: top_k=14, lambda=2.25, top_site=L0-d0, exact=0.5547, gold prob=0.5616
WX: top_k=14, lambda=2.5, top_site=L0-d0, exact=0.5664, gold prob=0.5699
WX: top_k=14, lambda=2.75, top_site=L0-d0, exact=0.5879, gold prob=0.5808
WX: top_k=14, lambda=3, top_site=L0-d0, exact=0.5918, gold prob=0.5891
WX: top_k=14, lambda=3.25, top_site=L0-d0, exact=0.5996, gold prob=0.5943
WX: top_k=14, lambda=3.5, top_site=L0-d0, exact=0.5938, gold prob=0.5968
WX: top_k=14, lambda=3.75, top_site=L0-d0, exact=0.5977, gold prob=0.6000
WX: top_k=14, lambda=4, top_site=L0-d0, exact=0.6094, gold prob=0.6043
WX: top_k=15, lambda=0.25, top_site=L0-d0, exact=0.5312, gold prob=0.5312
WX: top_k=15, lambda=0.5, top_site=L0-d0, exact=0.5312, gold prob=0.5312
WX: top_k=15, lambda=0.75, top_site=L0-d0, exact=0.5312, gold prob=0.5303
WX: top_k=15, lambda=1, top_site=L0-d0, exact=0.5293, gold prob=0.5304
WX: top_k=15, lambda=1.25, top_site=L0-d0, exact=0.5352, gold prob=0.5351
WX: top_k=15, lambda=1.5, top_site=L0-d0, exact=0.5449, gold prob=0.5421
WX: top_k=15, lambda=1.75, top_site=L0-d0, exact=0.5469, gold prob=0.5477
WX: top_k=15, lambda=2, top_site=L0-d0, exact=0.5508, gold prob=0.5521
WX: top_k=15, lambda=2.25, top_site=L0-d0, exact=0.5566, gold prob=0.5574
WX: top_k=15, lambda=2.5, top_site=L0-d0, exact=0.5605, gold prob=0.5637
WX: top_k=15, lambda=2.75, top_site=L0-d0, exact=0.5762, gold prob=0.5728
WX: top_k=15, lambda=3, top_site=L0-d0, exact=0.5840, gold prob=0.5828
WX: top_k=15, lambda=3.25, top_site=L0-d0, exact=0.5938, gold prob=0.5907
WX: top_k=15, lambda=3.5, top_site=L0-d0, exact=0.6016, gold prob=0.5956
WX: top_k=15, lambda=3.75, top_site=L0-d0, exact=0.5977, gold prob=0.5972
WX: top_k=15, lambda=4, top_site=L0-d0, exact=0.5957, gold prob=0.5990
WX: top_k=16, lambda=0.25, top_site=L0-d0, exact=0.5312, gold prob=0.5312
WX: top_k=16, lambda=0.5, top_site=L0-d0, exact=0.5312, gold prob=0.5312
WX: top_k=16, lambda=0.75, top_site=L0-d0, exact=0.5312, gold prob=0.5309
WX: top_k=16, lambda=1, top_site=L0-d0, exact=0.5312, gold prob=0.5315
WX: top_k=16, lambda=1.25, top_site=L0-d0, exact=0.5371, gold prob=0.5350
WX: top_k=16, lambda=1.5, top_site=L0-d0, exact=0.5391, gold prob=0.5411
WX: top_k=16, lambda=1.75, top_site=L0-d0, exact=0.5488, gold prob=0.5459
WX: top_k=16, lambda=2, top_site=L0-d0, exact=0.5449, gold prob=0.5476
WX: top_k=16, lambda=2.25, top_site=L0-d0, exact=0.5449, gold prob=0.5477
WX: top_k=16, lambda=2.5, top_site=L0-d0, exact=0.5391, gold prob=0.5490
WX: top_k=16, lambda=2.75, top_site=L0-d0, exact=0.5508, gold prob=0.5528
WX: top_k=16, lambda=3, top_site=L0-d0, exact=0.5625, gold prob=0.5597
WX: top_k=16, lambda=3.25, top_site=L0-d0, exact=0.5762, gold prob=0.5669
WX: top_k=16, lambda=3.5, top_site=L0-d0, exact=0.5781, gold prob=0.5721
WX: top_k=16, lambda=3.75, top_site=L0-d0, exact=0.5762, gold prob=0.5749
WX: top_k=16, lambda=4, top_site=L0-d0, exact=0.5742, gold prob=0.5764
WX: top_k=17, lambda=0.25, top_site=L0-d0, exact=0.5312, gold prob=0.5312
